scope,algorithm,vus,metric,value,unit
isolated,FN-DSA-Precomputed-512,,access_token_generation_avg,0.3575447999999999,ms
isolated,FN-DSA-Precomputed-512,,access_token_generation_p95,0.480134,ms
isolated,FN-DSA-Precomputed-512,,refresh_token_generation_avg,0.36393621999999987,ms
isolated,FN-DSA-Precomputed-512,,refresh_token_generation_p95,0.4320775499999998,ms
isolated,FN-DSA-Precomputed-512,,cpu_time_per_token_avg,0.4,ms
pure_signing,FN-DSA-Precomputed-512,,pure_signing_gc_free_avg,0.2974394489795919,ms
pure_signing,FN-DSA-Precomputed-512,,pure_signing_gc_free_p95,0.3673274999999999,ms
pure_signing,FN-DSA-Precomputed-512,,memory_alloc_avg,3.1953884887695314,MB
pure_signing,FN-DSA-Precomputed-512,,memory_rss_avg,39.1197265625,MB
stress,FN-DSA-Precomputed-512,10,login_avg,433.74379703030326,ms
stress,FN-DSA-Precomputed-512,10,login_p95,856.4179293999996,ms
stress,FN-DSA-Precomputed-512,10,refresh_avg,335.5054358898073,ms
stress,FN-DSA-Precomputed-512,10,refresh_p95,691.9451597999998,ms
stress,FN-DSA-Precomputed-512,10,throughput_ok,12.1,requests/s
stress,FN-DSA-Precomputed-512,30,login_avg,1153.3727763892941,ms
stress,FN-DSA-Precomputed-512,30,login_p95,2327.725946,ms
stress,FN-DSA-Precomputed-512,30,refresh_avg,1046.0816131532852,ms
stress,FN-DSA-Precomputed-512,30,refresh_p95,2150.4811865,ms
stress,FN-DSA-Precomputed-512,30,throughput_ok,13.7,requests/s
stress,FN-DSA-Precomputed-512,50,login_avg,1849.2134791173703,ms
stress,FN-DSA-Precomputed-512,50,login_p95,3727.90316175,ms
stress,FN-DSA-Precomputed-512,50,refresh_avg,1761.100977929579,ms
stress,FN-DSA-Precomputed-512,50,refresh_p95,3593.08615925,ms
stress,FN-DSA-Precomputed-512,50,throughput_ok,14.2,requests/s
isolated,FN-DSA-512,,access_token_generation_avg,0.4720399800000001,ms
isolated,FN-DSA-512,,access_token_generation_p95,0.60643255,ms
