figure_id,name,metric,png
Fig. 1,fig_01_isolated_access_token_generation_avg_ms,access_token_generation_avg_ms,fig_01_isolated_access_token_generation_avg_ms.png
Fig. 2,fig_02_isolated_access_token_generation_p95_ms,access_token_generation_p95_ms,fig_02_isolated_access_token_generation_p95_ms.png
Fig. 3,fig_03_isolated_refresh_token_generation_avg_ms,refresh_token_generation_avg_ms,fig_03_isolated_refresh_token_generation_avg_ms.png
Fig. 4,fig_04_isolated_refresh_token_generation_p95_ms,refresh_token_generation_p95_ms,fig_04_isolated_refresh_token_generation_p95_ms.png
Fig. 16,fig_16_isolated_cpu_time_per_token_avg_ms,cpu_time_per_token_avg_ms,fig_16_isolated_cpu_time_per_token_avg_ms.png
Fig. 14,fig_14_pure_signing_avg_ms,pure_signing_gc_free_avg_ms,fig_14_pure_signing_avg_ms.png
Fig. 17,fig_17_pure_signing_p95_ms,pure_signing_gc_free_p95_ms,fig_17_pure_signing_p95_ms.png
Fig. 15,fig_15_pure_signing_memory_alloc_delta_avg_kb,pure_signing_memory_alloc_delta_avg_kb,fig_15_pure_signing_memory_alloc_delta_avg_kb.png
Fig. 10,fig_10_stress_login_avg_ms,stress_login_avg_ms,fig_10_stress_login_avg_ms.png
Fig. 19,fig_19_stress_login_p95_ms,stress_login_p95_ms,fig_19_stress_login_p95_ms.png
Fig. 11,fig_11_stress_refresh_avg_ms,stress_refresh_avg_ms,fig_11_stress_refresh_avg_ms.png
Fig. 20,fig_20_stress_refresh_p95_ms,stress_refresh_p95_ms,fig_20_stress_refresh_p95_ms.png
Fig. 12,fig_12_stress_throughput_ok_per_s,stress_throughput_ok_per_s,fig_12_stress_throughput_ok_per_s.png
Fig. 18,fig_18_fndsa_persistent_key_memory_kb,fndsa_persistent_key_memory_kb,fig_18_fndsa_persistent_key_memory_kb.png
Fig. 13,fig_13_security_attack_block_rate_pct,security_attack_block_rate_pct,fig_13_security_attack_block_rate_pct.png
