figure,scenario,algorithm,vus,metric,median,q1,q3,runs
mrun_01_pure_signing_avg_ms,isolated,FN-DSA-Precomputed-512,,pure_avg,0.321,0.2933,0.3778,20
mrun_01_pure_signing_avg_ms,isolated,FN-DSA-512,,pure_avg,0.436,0.4203,0.4725,20
mrun_01_pure_signing_avg_ms,isolated,HS256,,pure_avg,0.002,0.002,0.002,20
mrun_01_pure_signing_avg_ms,isolated,RS256,,pure_avg,1.127,1.0915,1.202,20
mrun_01_pure_signing_avg_ms,isolated,ES256,,pure_avg,0.047,0.044,0.055,20
mrun_01_pure_signing_avg_ms,isolated,EdDSA,,pure_avg,0.03,0.027,0.034,20
mrun_02_pure_signing_p95_ms,isolated,FN-DSA-Precomputed-512,,pure_p95,0.4075,0.3575,0.489,20
mrun_02_pure_signing_p95_ms,isolated,FN-DSA-512,,pure_p95,0.556,0.5298,0.5948,20
mrun_02_pure_signing_p95_ms,isolated,HS256,,pure_p95,0.003,0.003,0.004,20
mrun_02_pure_signing_p95_ms,isolated,RS256,,pure_p95,1.3975,1.332,1.5577,20
mrun_02_pure_signing_p95_ms,isolated,ES256,,pure_p95,0.067,0.06,0.0818,20
mrun_02_pure_signing_p95_ms,isolated,EdDSA,,pure_p95,0.042,0.0372,0.05,20
mrun_03_process_rss_avg_mb,isolated,FN-DSA-Precomputed-512,,rss_kb,41081.32,34277.97,45436.81,20
mrun_03_process_rss_avg_mb,isolated,FN-DSA-512,,rss_kb,39347.36,34264.84,45622.5,20
mrun_03_process_rss_avg_mb,isolated,HS256,,rss_kb,38626.02,33251.99,44730.85,20
mrun_03_process_rss_avg_mb,isolated,RS256,,rss_kb,40758.4,33505.89,44558.37,20
mrun_03_process_rss_avg_mb,isolated,ES256,,rss_kb,40654.94,33538.54,44993.93,20
mrun_03_process_rss_avg_mb,isolated,EdDSA,,rss_kb,38720.12,33247.67,44817.41,20
mrun_04_isolated_access_avg_ms,isolated,FN-DSA-Precomputed-512,,access_avg,0.329,0.314,0.3575,20
mrun_04_isolated_access_avg_ms,isolated,FN-DSA-512,,access_avg,0.4355,0.411,0.465,20
mrun_04_isolated_access_avg_ms,isolated,HS256,,access_avg,0.0135,0.011,0.015,20
mrun_04_isolated_access_avg_ms,isolated,RS256,,access_avg,1.1375,1.1015,1.2723,20
mrun_04_isolated_access_avg_ms,isolated,ES256,,access_avg,0.0585,0.055,0.0655,20
mrun_04_isolated_access_avg_ms,isolated,EdDSA,,access_avg,0.043,0.038,0.0478,20
mrun_05_isolated_access_p95_ms,isolated,FN-DSA-Precomputed-512,,access_p95,0.424,0.394,0.4463,20
mrun_05_isolated_access_p95_ms,isolated,FN-DSA-512,,access_p95,0.561,0.537,0.59,20
mrun_05_isolated_access_p95_ms,isolated,HS256,,access_p95,0.024,0.021,0.028,20
mrun_05_isolated_access_p95_ms,isolated,RS256,,access_p95,1.4045,1.3487,1.5097,20
mrun_05_isolated_access_p95_ms,isolated,ES256,,access_p95,0.084,0.0762,0.094,20
mrun_05_isolated_access_p95_ms,isolated,EdDSA,,access_p95,0.063,0.0532,0.0688,20
mrun_06_isolated_refresh_avg_ms,isolated,FN-DSA-Precomputed-512,,refresh_avg,0.33,0.3027,0.355,20
mrun_06_isolated_refresh_avg_ms,isolated,FN-DSA-512,,refresh_avg,0.4375,0.4225,0.4632,20
mrun_06_isolated_refresh_avg_ms,isolated,HS256,,refresh_avg,0.0135,0.0105,0.0158,20
mrun_06_isolated_refresh_avg_ms,isolated,RS256,,refresh_avg,1.1475,1.103,1.255,20
mrun_06_isolated_refresh_avg_ms,isolated,ES256,,refresh_avg,0.0595,0.0563,0.0695,20
