run_file,scenario,algorithm,vus,metric,value
result.txt,isolated,FN-DSA-Precomputed-512,,pure_avg,0.312
result.txt,isolated,FN-DSA-Precomputed-512,,pure_p95,0.447
result.txt,isolated,FN-DSA-Precomputed-512,,access_avg,0.358
result.txt,isolated,FN-DSA-Precomputed-512,,access_p95,0.41
result.txt,isolated,FN-DSA-Precomputed-512,,refresh_avg,0.357
result.txt,isolated,FN-DSA-Precomputed-512,,refresh_p95,0.406
result.txt,isolated,FN-DSA-Precomputed-512,,e2e_avg,0.732
result.txt,isolated,FN-DSA-Precomputed-512,,cpu_per_tok,0.35
result.txt,isolated,FN-DSA-Precomputed-512,,rss_kb,33588.56
result.txt,stress,FN-DSA-Precomputed-512,10,access_avg,0.74
result.txt,stress,FN-DSA-Precomputed-512,10,access_p95,1.923
result.txt,stress,FN-DSA-Precomputed-512,10,refresh_avg,0.907
result.txt,stress,FN-DSA-Precomputed-512,10,refresh_p95,2.563
result.txt,stress,FN-DSA-Precomputed-512,10,token_ok_s,12.87
result.txt,stress,FN-DSA-Precomputed-512,30,access_avg,0.659
result.txt,stress,FN-DSA-Precomputed-512,30,access_p95,1.482
result.txt,stress,FN-DSA-Precomputed-512,30,refresh_avg,0.812
result.txt,stress,FN-DSA-Precomputed-512,30,refresh_p95,2.376
result.txt,stress,FN-DSA-Precomputed-512,30,token_ok_s,13.5
result.txt,stress,FN-DSA-Precomputed-512,50,access_avg,1.084
result.txt,stress,FN-DSA-Precomputed-512,50,access_p95,3.68
result.txt,stress,FN-DSA-Precomputed-512,50,refresh_avg,0.843
result.txt,stress,FN-DSA-Precomputed-512,50,refresh_p95,2.501
result.txt,stress,FN-DSA-Precomputed-512,50,token_ok_s,12.93
result.txt,secondary,FN-DSA-Precomputed-512,10,login_avg,385.175
result.txt,secondary,FN-DSA-Precomputed-512,10,login_p95,670.596
result.txt,secondary,FN-DSA-Precomputed-512,10,refresh_avg,305.31
result.txt,secondary,FN-DSA-Precomputed-512,10,refresh_p95,608.102
result.txt,secondary,FN-DSA-Precomputed-512,10,e2e_avg,39.252
result.txt,secondary,FN-DSA-Precomputed-512,10,e2e_p95,111.897
result.txt,secondary,FN-DSA-Precomputed-512,10,rps,12.87
result.txt,secondary,FN-DSA-Precomputed-512,30,login_avg,1182.65
result.txt,secondary,FN-DSA-Precomputed-512,30,login_p95,2287.206
result.txt,secondary,FN-DSA-Precomputed-512,30,refresh_avg,1018.787
result.txt,secondary,FN-DSA-Precomputed-512,30,refresh_p95,2110.502
result.txt,secondary,FN-DSA-Precomputed-512,30,e2e_avg,22.101
result.txt,secondary,FN-DSA-Precomputed-512,30,e2e_p95,69.37
result.txt,secondary,FN-DSA-Precomputed-512,30,rps,13.5
result.txt,secondary,FN-DSA-Precomputed-512,50,login_avg,2024.856
result.txt,secondary,FN-DSA-Precomputed-512,50,login_p95,3852.888
result.txt,secondary,FN-DSA-Precomputed-512,50,refresh_avg,1637.224
result.txt,secondary,FN-DSA-Precomputed-512,50,refresh_p95,3477.406
result.txt,secondary,FN-DSA-Precomputed-512,50,e2e_avg,457.911
result.txt,secondary,FN-DSA-Precomputed-512,50,e2e_p95,1626.116
result.txt,secondary,FN-DSA-Precomputed-512,50,rps,12.93
result.txt,isolated,FN-DSA-512,,pure_avg,0.442
result.txt,isolated,FN-DSA-512,,pure_p95,0.538
result.txt,isolated,FN-DSA-512,,access_avg,0.435
result.txt,isolated,FN-DSA-512,,access_p95,0.53
result.txt,isolated,FN-DSA-512,,refresh_avg,0.443
result.txt,isolated,FN-DSA-512,,refresh_p95,0.533
result.txt,isolated,FN-DSA-512,,e2e_avg,0.91
result.txt,isolated,FN-DSA-512,,cpu_per_tok,0.55
result.txt,isolated,FN-DSA-512,,rss_kb,33275.16
result.txt,stress,FN-DSA-512,10,access_avg,0.919
result.txt,stress,FN-DSA-512,10,access_p95,2.607
result.txt,stress,FN-DSA-512,10,refresh_avg,0.869
result.txt,stress,FN-DSA-512,10,refresh_p95,2.507
result.txt,stress,FN-DSA-512,10,token_ok_s,11.63
result.txt,stress,FN-DSA-512,30,access_avg,0.834
result.txt,stress,FN-DSA-512,30,access_p95,2.111
result.txt,stress,FN-DSA-512,30,refresh_avg,0.842
result.txt,stress,FN-DSA-512,30,refresh_p95,2.443
result.txt,stress,FN-DSA-512,30,token_ok_s,9.77
result.txt,stress,FN-DSA-512,50,access_avg,1.208
result.txt,stress,FN-DSA-512,50,access_p95,3.643
result.txt,stress,FN-DSA-512,50,refresh_avg,0.851
result.txt,stress,FN-DSA-512,50,refresh_p95,2.478
result.txt,stress,FN-DSA-512,50,token_ok_s,13.37
result.txt,secondary,FN-DSA-512,10,login_avg,414.187
result.txt,secondary,FN-DSA-512,10,login_p95,812.119
result.txt,secondary,FN-DSA-512,10,refresh_avg,337.083
result.txt,secondary,FN-DSA-512,10,refresh_p95,758.601
result.txt,secondary,FN-DSA-512,10,e2e_avg,59.299
result.txt,secondary,FN-DSA-512,10,e2e_p95,325.67
result.txt,secondary,FN-DSA-512,10,rps,11.63
result.txt,secondary,FN-DSA-512,30,login_avg,1284.306
result.txt,secondary,FN-DSA-512,30,login_p95,3045.32
result.txt,secondary,FN-DSA-512,30,refresh_avg,1357.227
result.txt,secondary,FN-DSA-512,30,refresh_p95,4329.359
result.txt,secondary,FN-DSA-512,30,e2e_avg,446.44
result.txt,secondary,FN-DSA-512,30,e2e_p95,4073.299
result.txt,secondary,FN-DSA-512,30,rps,9.77
result.txt,secondary,FN-DSA-512,50,login_avg,1907.478
result.txt,secondary,FN-DSA-512,50,login_p95,4022.767
result.txt,secondary,FN-DSA-512,50,refresh_avg,1802.564
result.txt,secondary,FN-DSA-512,50,refresh_p95,3746.523
result.txt,secondary,FN-DSA-512,50,e2e_avg,129.63
result.txt,secondary,FN-DSA-512,50,e2e_p95,1215.911
result.txt,secondary,FN-DSA-512,50,rps,13.37
result.txt,isolated,HS256,,pure_avg,0.002
result.txt,isolated,HS256,,pure_p95,0.003
result.txt,isolated,HS256,,access_avg,0.014
result.txt,isolated,HS256,,access_p95,0.024
result.txt,isolated,HS256,,refresh_avg,0.014
result.txt,isolated,HS256,,refresh_p95,0.025
result.txt,isolated,HS256,,e2e_avg,0.029
result.txt,isolated,HS256,,cpu_per_tok,0.05
result.txt,isolated,HS256,,rss_kb,32176.8
result.txt,stress,HS256,10,access_avg,0.085
result.txt,stress,HS256,10,access_p95,0.149
result.txt,stress,HS256,10,refresh_avg,0.023
result.txt,stress,HS256,10,refresh_p95,0.013
result.txt,stress,HS256,10,token_ok_s,13.67
result.txt,stress,HS256,30,access_avg,0.072
result.txt,stress,HS256,30,access_p95,0.1
result.txt,stress,HS256,30,refresh_avg,0.018
result.txt,stress,HS256,30,refresh_p95,0.016
result.txt,stress,HS256,30,token_ok_s,13.93
result.txt,stress,HS256,50,access_avg,0.089
result.txt,stress,HS256,50,access_p95,0.115
result.txt,stress,HS256,50,refresh_avg,0.018
result.txt,stress,HS256,50,refresh_p95,0.014
result.txt,stress,HS256,50,token_ok_s,14.8
result.txt,secondary,HS256,10,login_avg,372.24
result.txt,secondary,HS256,10,login_p95,702.633
result.txt,secondary,HS256,10,refresh_avg,281.166
result.txt,secondary,HS256,10,refresh_p95,603.766
result.txt,secondary,HS256,10,e2e_avg,35.722
result.txt,secondary,HS256,10,e2e_p95,190.783
result.txt,secondary,HS256,10,rps,13.67
result.txt,secondary,HS256,30,login_avg,1136.71
result.txt,secondary,HS256,30,login_p95,2244.345
result.txt,secondary,HS256,30,refresh_avg,1016.606
result.txt,secondary,HS256,30,refresh_p95,2082.519
result.txt,secondary,HS256,30,e2e_avg,18.392
result.txt,secondary,HS256,30,e2e_p95,36.149
result.txt,secondary,HS256,30,rps,13.93
result.txt,secondary,HS256,50,login_avg,1788.699
result.txt,secondary,HS256,50,login_p95,3723.627
result.txt,secondary,HS256,50,refresh_avg,1684.871
result.txt,secondary,HS256,50,refresh_p95,3411.265
